,0
660,-0.82399464
661,-0.73255444
662,-0.4183569
663,-0.48092175
664,-0.6871786
665,-0.27810287
666,-0.6775527
667,-0.56961155
668,-0.28497887
669,-0.29460335
670,-0.64523935
671,-0.40254402
672,0.051906586
673,-0.44035816
674,-0.51942253
675,-0.2347889
676,-0.42866993
677,-0.10897255
678,0.035407066
679,-0.36954403
680,-0.61155033
681,-0.0037822723
682,-0.20453835
683,-0.59367466
684,-0.5379858
685,-0.62186337
686,-0.66792774
687,-0.52767277
688,-0.5379858
689,-0.39429379
690,-0.34273052
691,-0.7201791
692,-0.13166046
693,-0.5881748
694,-0.54898643
695,-0.18116283
696,-0.76934624
697,-0.7545552
698,-0.7923689
699,0.28566456
700,0.06909561
701,-0.75661755
702,0.005844116
703,-0.5613613
704,-0.64592695
705,-0.53042316
706,-0.6081133
707,-0.27535248
708,-0.35098076
709,-0.62667656
710,-0.10140991
711,-0.445858
712,-0.39910603
713,-0.66242695
714,-0.4087324
715,-0.43829536
716,-0.39360714
717,-0.43623257
718,-0.6005497
719,-0.2595396
720,-0.7985568
721,-0.7916813
722,-0.8418703
723,-0.9106226
724,-0.8418703
725,-0.8370576
726,-0.82261944
727,-0.6968031
728,-0.8893094
729,-0.8686838
730,-0.8927469
731,-0.76211786
732,-0.7868686
733,-0.8686838
734,-0.8198695
735,-0.73530436
736,-0.77793074
737,-0.7999315
738,-0.8171201
739,-0.8212447
740,-0.8157449
741,-0.87280893
742,-0.85149574
743,-0.8198695
744,-0.85080814
745,-0.92024803
746,-0.90099716
747,-0.7923689
748,-0.8233075
749,-0.8136821
750,-0.8886223
751,-0.92093515
752,-0.8322449
753,-0.8411827
754,-0.68649006
755,-0.8611207
756,-0.87624645
757,-0.8893094
758,-0.85355806
759,-0.9147477
760,-0.816432
761,-0.7552428
762,-0.8927469
763,-0.80336905
764,-0.82811975
765,-0.87349653
766,-0.8129945
767,-0.76074266
768,-0.84943295
769,-0.89687204
770,-0.82536983
771,-0.77930593
772,-0.8171201
773,-0.8638711
774,-0.8844967
775,-0.8425579
776,-0.78480625
777,-0.82468224
778,-0.8638711
779,-0.83499527
780,-0.1694746
781,-0.42591953
782,-0.47885895
783,-0.35991764
784,-0.48710918
785,-0.4451704
786,-0.3537302
