time,EstimatedRemainingTimeContext,SimulationLeftNumber,SimulationElapsedTime,NotFinishedOnTime,MinimumCoresContext,WillFinishTooSoonContext,NotFinishedOnTimeContext,RemainingSimulationTimeMetric,TotalCores
1607509683,null,568,4533,null,null,null,null,2667,5
1607509713,null,562,4563,null,null,null,null,2637,5
1607509743,null,558,4593,null,null,null,null,2607,5
1607509773,null,558,4623,null,null,null,null,2577,5
1607509803,null,552,4653,null,null,null,null,2547,5
1607509833,null,550,4683,null,null,null,null,2517,7
1607509863,null,545,4713,null,null,null,null,2487,7
1607509893,null,539,4743,null,null,null,null,2457,7
1607509923,null,536,4773,null,null,null,null,2427,7
1607509953,null,523,4803,null,null,null,null,2397,7
1607509983,null,523,4833,null,null,null,null,2367,7
1607510013,null,517,4863,null,null,null,null,2337,5
1607510043,null,517,4893,null,null,null,null,2307,5
1607510073,null,517,4923,null,null,null,null,2277,5
