time,served_request,request_rate,avgResponseTime,performance,cpu_usage,memory
1602541898,2152,433,657.561227402279,0.653931500339111,31.9,71516160
1602541908,2147,430,665.736604858455,0.645901091906196,31.8,71458816
1602541918,2154,423,675.309056580454,0.635264692246713,31.4,71196672
1602541928,2118,424,675.735470593482,0.625984602567169,31.6,71548928
1602541938,2142,426,674.616739195602,0.634434301927251,31.7,71835648
1602541948,2342,461,3.23852344418468,142.348822834,35.3,65658880
1602541958,2311,462,3.22815877748536,143.115637069092,37.1,65896448
1602541968,2355,470,3.11457781781563,150.903277263314,37,65814528
1602541978,2139,491,43.4614570969006,9.89382383202852,36.3,70533120
1602541988,2145,428,673.683104704032,0.633829165402022,32,71532544
1602541998,2162,429,663.473771304361,0.651118429520894,32,71581696
1602542008,2138,427,631.513317797762,0.676153594811035,32.1,71483392
1602542018,2123,423,670.226698487758,0.632621769554506,31.4,71450624
1602542028,2126,424,677.595055899526,0.624266656489186,31.6,71450624
1602542038,2139,432,663.313830662353,0.645245101511934,31.6,71311360
1602542048,2143,425,683.581573853023,0.626114009462789,31.7,71458816
1602542058,2116,421,681.56676290166,0.620628855490468,31.5,71606272
1602542068,2078,428,653.280895759098,0.6383165384248,31.7,71630848
1602542078,2168,401,663.050044726622,0.653042712904918,31.3,68419584
1602542088,2276,458,3.04125178677336,150.924695546823,34.9,65863680
1602542098,2322,466,3.21754168889114,144.831068268333,37.2,65699840
1602542108,2355,466,3.32116098667153,140.312379276449,36.8,65871872
1602542118,2329,462,3.43980457507371,134.309955672438,37.3,65855488
1602542128,2347,466,3.3869341072957,137.292307812649,37.3,65970176
1602542138,2358,469,3.37388719715639,139.008796854645,37.3,66248704
1602542148,2334,460,3.18082183880385,144.302329165536,36.8,65216512
1602542158,2344,466,3.15704138205727,147.606554240456,37.4,65699840
1602542168,2273,458,3.25994852404211,140.799769264722,37,66068480
1602542178,2311,467,3.27985960392145,142.38414334615,36.7,66183168
1602542188,2171,436,670.355304382409,0.6474178650676,31.8,71557120
1602542198,2141,426,643.491608135503,0.665121338940405,32.3,71852032
1602542208,2140,424,682.003631435822,0.626096372978304,31.9,71663616
1602542218,2304,460,3.01494925386376,152.573048919644,34.6,65544192
1602542228,2315,463,3.46673425793905,133.555088319706,36.7,65830912
1602542238,2305,465,3.31566845775944,139.94161536692,37.6,66093056
1602542248,2333,466,3.17464567692148,146.78803476799,37,65945600
1602542258,2306,467,3.03991887224103,153.622520740406,37.2,65888256
1602542268,2012,461,518.861182522821,0.778628299067701,32.4,71172096
1602542278,2133,426,682.596165531407,0.624087889020524,31.7,71544832
1602542288,2119,424,680.442234433558,0.623124166231339,31.5,71602176
1602542298,2134,427,673.362325147255,0.632646027392221,31.5,71675904
1602542308,2179,436,655.832469107745,0.664803925601876,32.1,71249920
1602542318,2166,436,664.864583579017,0.651260438131819,31.7,71651328
1602542328,2154,430,665.834144297417,0.645806472501847,31.6,71028736
1602542338,2145,427,673.75129041694,0.635249247144505,31.8,71749632
1602542348,2133,404,675.943163041492,0.634668746510669,31.4,68669440
1602542358,2343,463,3.1584530267459,146.59075062358,35.2,65359872
1602542368,2313,462,3.17512906788233,145.50589601957,37.2,65933312
1602542378,2367,467,3.16335533457967,147.628056480115,37.1,65384448
1602542388,2098,425,682.982791481527,0.614949608157675,31.2,71864320
1602542398,2160,426,673.611799434379,0.641318932303061,31.8,70995968
1602542408,2138,426,675.401350512919,0.632216680756892,31.6,71577600
1602542418,2134,429,655.678177728984,0.652759256808617,31.9,71487488
1602542428,2144,430,674.909194681182,0.635641066058752,31.7,71430144
1602542438,2130,426,673.270152096457,0.632732638857527,31.4,71831552
1602542448,2109,421,681.294278207691,0.617941487939018,31.5,71553024
1602542458,2115,422,674.675375011796,0.621039414685432,31.7,71364608
1602542468,2173,432,662.013923633609,0.655575335361371,32.1,71643136
1602542478,2166,430,663.302017380987,0.652794637516222,32,71774208
1602542488,1852,317,654.761888553463,0.566618195844652,25.9,65236992
1602542498,2323,462,3.17482459765798,145.83482827415,35.6,65933312
1602542508,2313,466,3.11368634264757,149.661831256825,36.9,65851392
1602542518,2363,472,3.39869104902774,138.876995052264,37.4,66179072
1602542528,2144,422,682.239767775607,0.627345429298944,31.4,71176192
1602542538,2122,423,684.362266785013,0.619554906192974,31.6,71831552
1602542548,2117,420,675.209052505277,0.626472643443556,31.4,71208960
1602542558,2129,429,632.013192474702,0.677201053864286,31.7,71290880
1602542568,2152,433,671.985626553071,0.639894639124458,31.1,71708672
1602542578,2140,427,667.685912479864,0.641019964627316,31.6,71479296
